FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
27320310	Pork_chow_mein_or_chop_suey_with_noodles	Yes	No	0	Pork chow mein or chop suey with noodles	27320310.0
27320320	_Pork_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_soy_based_sauce_	Yes	No	0	"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"	27320320.0
27320330	_Pork_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_soy_based_sauce_	Yes	No	0	"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"	27320330.0
27320340	_Pork_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27320340.0
27320350	_Pork_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27320350.0
27320410	_Ham_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_	Yes	No	0	"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"	27320410.0
27320450	_Ham_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_sauce_	Yes	No	0	"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"	27320450.0
27320500	Sweet_and_sour_pork_with_rice	Yes	No	0	Sweet and sour pork with rice	27320500.0
27330010	Shepherd_s_pie_with_lamb	Yes	No	0	Shepherd's pie with lamb	27330010.0
27330030	_Lamb_or_mutton_stew_with_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27330030.0
27330050	_Lamb_or_mutton_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27330050.0
27330060	_Lamb_or_mutton_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27330060.0
27330080	_Lamb_or_mutton_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy"	27330080.0
27330110	_Lamb_or_mutton_stew_with_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27330110.0
27330170	Stuffed_grape_leaves_with_lamb_and_rice	Yes	No	0	Stuffed grape leaves with lamb and rice	27330170.0
27330210	_Lamb_or_mutton_stew_with_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27330210.0
27330220	_Lamb_or_mutton_stew_with_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27330220.0
27331150	Veal_fricassee_Puerto_Rican_style	Yes	No	0	Veal fricassee, Puerto Rican style	27331150.0
27332100	_Veal_stew_with_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Veal stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27332100.0
